FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-04, 16:06:49.483	137773.03318230
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
116.996	20.620	242.731
118.750	20.632	243.032
120.660	20.904	243.236
122.401	20.923	243.511
124.078	20.906	243.808
125.999	21.165	244.052
127.667	21.228	244.374
129.492	21.380	244.660
131.227	21.545	244.911
132.978	21.617	245.206
134.736	21.708	245.473
136.458	21.865	245.786
138.302	22.021	246.057
139.839	22.044	246.382
141.677	22.181	246.629
143.334	22.360	246.940
144.989	22.363	247.302
146.806	22.598	247.566
148.441	22.629	247.851
150.035	22.691	248.221
151.826	22.950	248.475
153.334	23.008	248.880
154.979	23.003	249.153
156.651	23.111	249.456
158.299	23.340	249.813
159.928	23.424	250.118
161.423	23.453	250.501
163.128	23.691	250.865
164.726	23.730	251.166
166.272	23.766	251.489
168.012	23.984	251.840
169.486	24.098	252.168
170.951	24.106	252.521
172.686	24.349	252.874
173.850	24.779	252.617
175.250	24.818	252.984
176.876	25.119	253.356
178.388	25.064	253.696
179.871	25.064	254.033
181.332	25.334	254.530
182.822	25.357	254.804
184.381	25.425	255.155
185.809	25.533	255.567
187.198	25.590	255.900
188.781	25.775	256.294
190.112	25.744	256.658
191.549	25.906	257.025
193.110	26.102	257.447
194.268	25.922	257.725
195.865	26.286	258.166
197.226	26.311	258.550
198.420	26.256	258.885
200.034	26.540	259.263
201.176	26.496	259.634
202.429	26.554	259.971
203.801	26.607	260.370
205.051	26.726	260.733
206.329	26.801	261.103
207.661	26.847	261.427
208.966	26.971	261.848
210.180	27.033	262.231
211.520	27.160	262.578
212.728	27.249	262.950
213.738	27.140	263.296
215.235	27.439	263.684
216.316	27.379	264.013
217.380	27.440	264.400
218.874	27.744	264.807
219.831	27.543	265.061
221.151	27.943	265.520
222.098	27.726	265.765
223.487	28.052	266.159
224.444	28.044	266.554
225.536	28.063	266.870
226.730	28.176	267.214
227.672	28.211	267.565
228.851	28.357	267.904
229.749	28.287	268.219
230.744	28.277	268.545
231.896	28.462	268.906
232.881	28.445	269.201
233.869	28.586	269.557
234.859	28.587	269.871
235.912	28.833	270.270
236.753	28.701	270.530
237.887	28.956	270.880
238.665	28.871	271.182
239.695	29.059	271.493
240.512	28.957	271.766
241.578	29.262	272.166
242.277	29.056	272.385
243.307	29.281	272.708
243.942	29.153	272.979
244.987	29.433	273.328
245.682	29.268	273.569
246.539	29.478	273.879
247.248	29.416	274.147
248.058	29.494	274.400
248.917	29.507	274.695
249.599	29.567	274.955
250.308	29.566	275.213
251.108	29.675	275.480
251.821	29.809	275.740
252.579	29.854	276.041
253.188	29.784	276.227
253.771	29.692	276.433
254.525	29.960	276.757
255.210	29.991	276.978
255.794	29.901	277.204
256.497	30.019	277.440
256.860	29.831	277.592
257.620	30.004	277.873
258.284	30.139	278.091
258.700	29.947	278.248
259.253	30.067	278.474
259.948	30.292	278.745
260.425	30.214	278.882
260.777	30.041	279.018
261.399	30.193	279.256
261.908	30.394	279.484
262.196	30.109	279.570
262.749	30.237	279.789
263.285	30.339	279.965
263.653	30.269	280.108
263.960	30.269	280.263
264.427	30.369	280.441
264.858	30.423	280.586
265.285	30.483	280.719
265.686	30.529	280.859
265.900	30.334	280.940
266.210	30.449	281.123
266.572	30.527	281.247
266.901	30.533	281.340
267.110	30.426	281.427
267.408	30.456	281.527
267.700	30.509	281.662
267.941	30.502	281.748
268.208	30.541	281.837
268.336	30.614	281.932
268.562	30.636	282.013
268.574	30.434	282.027
268.817	30.508	282.117
268.973	30.537	282.184
269.137	30.543	282.224
269.240	30.544	282.270
269.405	30.615	282.357
269.518	30.610	282.386
269.567	30.573	282.405
269.649	30.592	282.433
269.681	30.551	282.444
269.714	30.542	282.450
269.762	30.570	282.472
269.729	30.514	282.455
269.755	30.528	282.472
269.731	30.530	282.460
269.700	30.506	282.446
269.626	30.480	282.417
269.595	30.505	282.417
269.500	30.449	282.380
269.427	30.456	282.351
269.270	30.378	282.263
269.148	30.374	282.214
269.019	30.359	282.175
268.888	30.328	282.115
268.867	30.487	282.093
268.595	30.421	282.008
268.443	30.360	281.929
268.290	30.240	281.814
268.025	30.185	281.730
267.748	30.086	281.599
267.499	30.067	281.514
267.389	30.279	281.464
267.034	30.178	281.353
266.706	30.140	281.244
266.376	30.053	281.131
265.930	29.907	280.950
265.713	29.854	280.811
265.507	30.059	280.738
265.050	29.943	280.576
264.666	29.917	280.457
264.192	29.823	280.288
263.976	29.927	280.135
263.479	29.777	279.962
262.965	29.656	279.780
262.480	29.592	279.593
262.144	29.768	279.472
261.645	29.717	279.313
261.155	29.585	279.104
260.662	29.603	278.879
260.235	29.627	278.747
259.624	29.551	278.557
259.142	29.483	278.286
258.571	29.441	278.094
257.970	29.393	277.909
257.230	29.152	277.630
256.813	29.253	277.437
256.199	29.245	277.242
255.541	29.212	276.977
254.843	29.112	276.749
254.186	28.947	276.453
253.569	29.032	276.243
252.910	29.015	276.039
