FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-285.699	12.558	290.951
-284.648	12.383	290.503
-283.587	12.444	290.031
-282.546	12.215	289.523
-281.342	12.385	289.055
-280.299	12.271	288.558
-279.162	12.113	288.065
-277.984	12.199	287.625
-276.884	11.986	287.099
-275.683	11.873	286.578
-274.470	11.958	286.107
-273.257	11.911	285.615
-272.057	11.690	285.091
-270.866	11.591	284.556
-269.596	11.623	284.045
-268.317	11.430	283.472
-266.985	11.476	283.015
-265.639	11.577	282.450
-264.364	11.291	281.867
-262.977	11.442	281.323
-261.649	11.337	280.755
-260.273	11.176	280.240
-258.881	11.055	279.635
-257.481	11.076	279.084
-256.114	10.912	278.494
-254.667	10.811	277.961
-253.225	10.733	277.372
-251.736	10.757	276.814
-250.245	10.677	276.218
-248.727	10.570	275.661
-247.296	10.428	275.104
-245.733	10.475	274.529
-244.148	10.377	273.979
-242.612	10.335	273.391
-241.151	10.146	272.781
-239.497	10.129	272.209
-237.898	9.994	271.627
-236.194	10.162	271.095
-234.664	9.848	270.455
-233.034	9.936	269.900
-231.352	9.611	269.279
-229.660	9.696	268.737
-227.999	9.595	268.144
-226.293	9.598	267.566
-224.566	9.404	266.969
-222.877	9.354	266.407
-221.134	9.223	265.806
-219.376	9.213	265.214
-217.541	9.058	264.630
-215.737	9.061	264.098
-213.968	8.910	263.499
-212.174	8.859	262.916
-210.370	8.848	262.346
-208.541	8.621	261.751
-206.660	8.632	261.231
-204.842	8.563	260.654
-202.911	8.585	260.071
-200.992	8.391	259.498
-199.099	8.392	258.946
-197.196	8.203	258.353
-195.303	8.186	257.796
-193.306	8.076	257.234
-191.392	7.960	256.688
-189.419	7.910	256.115
-187.405	7.943	255.567
-185.401	7.805	255.036
-183.419	7.708	254.499
-181.414	7.656	253.964
-179.377	7.372	253.397
-177.344	7.334	252.857
-175.285	7.272	252.335
-173.202	7.314	251.804
-171.109	7.148	251.276
-169.002	7.091	250.764
-166.854	6.939	250.257
-164.788	6.906	249.749
-162.681	6.738	249.195
-160.540	6.683	248.719
-158.358	6.592	248.199
-156.195	6.615	247.735
-154.024	6.560	247.242
-151.805	6.374	246.736
-149.634	6.404	246.262
-147.501	6.176	245.768
-145.281	6.076	245.305
-143.034	6.038	244.853
-140.748	5.980	244.418
-138.547	5.884	243.938
-136.286	5.939	243.540
-133.999	5.818	243.099
-131.777	5.672	242.620
-129.544	5.605	242.198
-127.202	5.583	241.814
-124.928	5.427	241.344
-122.562	5.464	240.999
-120.245	5.462	240.599
-117.904	5.244	240.180
-115.654	5.106	239.760
-113.291	5.104	239.411
-110.933	5.101	239.065
-108.567	5.006	238.702
-106.180	4.999	238.333
-103.806	4.876	237.992
-101.453	4.827	237.630
-99.062	4.618	237.292
-96.702	4.650	236.947
-94.278	4.526	236.620
-91.872	4.507	236.286
-89.414	4.467	236.012
-87.004	4.470	235.706
-84.599	4.345	235.430
-82.175	4.191	235.104
-79.726	4.208	234.884
-77.344	3.850	234.529
